EncryptTime;DecryptTime
34867;9128
31879;10531
31446;10574
29223;8740
31596;11746
30089;12011
33298;9778
31906;12551
31018;9189
30877;10508
31090;9372
31688;9283
29280;8687
31058;10165
30167;9756
31306;9669
30731;9674
45316;9683
31212;10163
32640;14061
31837;22948
30035;9991
31290;18350
29840;9832
32281;13191
33826;9890
31564;9562
31449;10607
36907;12543
31372;25040
31756;20954
32796;15531
30885;10168
45850;9520
37525;9483
33202;14176
29334;10150
31592;11224
30271;9054
30932;10996
34039;10401
31875;9912
31895;17581
31516;25371
31460;9918
30165;9364
47218;9890
44645;10028
32440;11357
33628;8930
45111;15096
31938;17189
32023;10152
31921;9791
29521;9563
33564;10541
30020;8621
32417;9846
31617;22969
31564;9836
46292;8792
31785;10005
31786;10411
48763;12443
31448;11454
30577;10157
30669;11150
29896;10437
30872;10385
31138;10339
44816;11673
31925;10936
45607;10079
31174;9866
30800;10948
32946;9282
44076;10041
30965;9851
32557;9586
31863;9198
31239;9207
31291;10124
32545;9913
31472;13711
31957;13044
29524;10271
32059;14664
30346;10193
32455;10546
31173;10914
31385;26743
31449;8956
31401;9952
31978;9615
32851;10597
31270;9515
31487;9905
31321;9625
44698;9991
51464;16877
33598;9485
32255;11386
30654;8840
29825;9804
45036;10309
29920;8829
32460;9739
46143;9954
44569;11712
32148;9320
33080;9469
33344;21908
31146;13016
34169;14793
29752;9555
31907;9962
30858;8756
32145;22939
32227;8672
35833;10937
34022;9214
32011;9606
33172;7919
32723;9256
31719;9473
30419;9460
32725;9851
30263;9391
45604;9734
32214;10132
31613;10018
31717;9112
33026;9051
31434;9600
31957;9761
32617;11286
30390;23745
30854;10026
29507;9170
32444;8778
33878;9013
31559;9516
32200;9434
32491;13973
31445;10424
29825;9975
32280;23587
30147;9781
32274;14485
31585;9461
31510;9706
30768;8349
31512;10515
48343;9724
29704;11643
32161;23727
29902;23295
31914;9473
30608;9204
31802;23171
33123;8875
32163;10103
31607;23815
30807;9208
32439;10376
30135;9804
32690;14553
30562;9466
31763;9460
31801;9473
31635;21744
44877;8997
32274;9282
31843;9639
37044;13480
37172;9785
32113;9344
39094;9734
32942;12743
33323;12009
29646;9993
31100;9345
29639;14089
31948;9348
33228;9115
31713;10565
31714;9180
29693;9441
32749;12610
29619;8899
31902;9432
32641;9514
32110;24691
47279;9847
32715;9498
31532;10572
31950;9414
32458;9380
31612;10144
32212;10106
31244;9826
45175;23314
29893;8801
31846;18813
31524;9823
31003;11613
45639;25361
30609;9679
45734;9594
31560;9598
30694;9334
30278;8872
32331;9705
45428;14408
31561;9665
31992;9644
31904;8643
31347;9757
29669;9231
31157;9756
29864;9295
30707;8681
31083;9260
31400;11150
45663;9077
30423;14014
32411;8583
29933;9699
31489;9054
29740;11516
31224;9012
33899;8340
32844;8402
30926;10345
45203;9332
31265;9601
29781;8542
32554;9080
31132;9542
31775;9406
32378;9109
32547;8932
32352;9394
31617;21261
45495;9420
30185;9384
31459;9033
30085;13529
31192;9365
32149;9140
