EncryptTime;DecryptTime
11188;8294
8206;8182
8017;8929
7495;8047
9904;7466
8193;22303
8301;8679
8526;8534
8650;7765
8975;8774
7947;9971
7746;8152
22170;8131
8245;7960
8334;16856
7340;7613
7563;9349
9106;8248
7624;7649
8053;8701
8004;22695
44516;7591
8088;8299
8045;7767
7422;22182
37641;23180
8012;7639
8200;8218
22555;7811
8525;8816
10039;7794
36219;8305
9080;8252
8059;8474
12618;9483
7724;8166
7979;9744
7722;7559
8231;7875
12840;7942
32739;9135
7359;10918
8032;7640
8171;7377
8800;11766
9018;8545
8128;23343
7710;9273
8229;8646
10026;8185
8118;8193
8253;9866
8914;8268
8146;8155
29769;9094
11267;8106
7642;7420
8898;10027
9003;8609
8772;12442
8222;8652
7711;8521
8763;8776
8226;7483
7440;7405
7991;8148
8127;8605
9037;8321
8075;7871
8065;7906
8310;9030
7467;7466
7510;8419
23119;8716
8551;22150
22079;7382
7848;7808
8430;9376
8173;7722
8126;7470
7359;7500
8537;7355
9418;8621
8155;9165
9733;8427
7557;8024
7817;8032
10522;8122
22936;8580
8003;7539
7776;8497
7370;7356
9200;13305
8040;12764
22086;23292
8024;8672
8086;9209
8353;14257
7802;10793
8022;8039
8513;12717
9038;8059
8362;11230
8540;8718
8004;10426
8012;9765
7788;7997
23608;10321
8415;8211
7997;8444
8435;10176
8155;8259
8538;7905
22650;8157
7346;7393
8545;8674
7717;22307
8330;8240
7411;7605
22341;8288
8046;8117
7872;8839
8751;7453
9327;7480
7798;22521
7375;7378
9364;7482
15233;8183
7996;7861
7837;12507
8151;8036
7942;8258
10834;8353
8425;7849
7434;7740
7823;8298
7844;7431
10540;9792
8809;8844
8345;7755
8384;8257
8808;22821
8405;16302
8202;8867
7876;7742
8170;7983
8516;8488
7934;7665
11701;8123
9735;8727
10132;8995
8386;8362
8181;8516
15153;8148
7768;8316
8905;12034
8033;8301
23054;7885
8562;7530
7893;8048
8146;10415
8072;8027
10128;8230
8047;18223
22683;9756
8249;7901
7683;8222
8620;8310
7953;14131
9591;8222
8149;8074
8879;9035
8762;8166
7998;9068
7970;8821
8311;8275
8090;7815
8444;9270
8393;8826
8554;8313
7413;7750
7415;8115
8409;7414
22138;9119
8126;8034
7860;8151
8121;8130
7439;7937
8483;8642
8490;9856
8352;8212
8576;9109
9366;9686
7769;8178
9565;9657
9555;8979
9120;10226
8254;19759
8706;8932
9486;15417
8513;9868
8828;8186
8108;21658
9427;8225
8745;15395
10739;11218
8682;9992
8459;7516
8729;8265
7423;22417
8002;7565
8022;8101
7782;8274
24200;8617
8730;7784
8444;8080
8605;8048
7555;8528
8350;9842
7640;8044
7717;9457
22906;9159
23226;7444
7812;8755
8097;8058
29883;8061
8644;8544
8091;8316
9351;7448
22824;7825
22924;22448
8807;9407
8212;8405
8605;8279
8272;7810
8629;8536
8982;10866
10978;16308
9107;9652
8161;9198
9523;11327
9573;8963
9238;12135
9558;11271
8602;9917
8875;9975
8259;10333
9144;9853
9700;9907
8906;9983
