EncryptTime;DecryptTime
15826;11243
23286;11141
10328;11713
11622;10869
8419;11867
11160;10049
10281;10260
11012;10942
11609;39825
11361;21346
11514;9259
9774;9568
7890;9713
9675;9962
8414;9298
9100;9758
10239;8190
9829;10111
9814;11261
9038;9792
9320;11304
8629;9585
24146;10380
9295;10561
9713;10204
9946;9747
8249;9919
9103;10007
8433;13124
9789;10652
10348;9472
10310;10071
9501;10144
7737;11256
9377;10680
8358;10769
9387;10104
9511;8660
9283;9501
9481;9367
8445;9772
11377;9518
9886;9800
10470;9970
10077;9547
8065;9731
11609;10298
8317;14841
9659;10056
10335;8885
9817;10589
9332;9697
8015;9328
10190;23406
7467;9239
9832;9590
9446;9091
9330;10470
10883;9540
9929;10296
9228;11144
9944;10049
9470;12642
9764;9947
8881;10021
10590;21257
7530;10119
9970;9983
8555;13197
9894;10181
9810;10161
9002;10067
9726;10117
21874;9885
9784;10951
9507;9477
9984;9738
9611;12046
7520;11996
19898;10478
7961;17029
9647;14973
8544;18973
9345;9288
9466;9573
12617;15823
23954;10082
8907;10302
9403;9425
8628;9885
9650;9875
11435;24401
9925;10004
9795;9724
8624;9877
9306;9793
9942;11871
9999;10346
13880;10048
10137;12738
10027;8717
11159;10400
9287;10103
8462;10295
9821;10157
8509;9078
25079;11392
23354;10116
9906;11856
10642;10434
8563;11776
10931;10340
11230;10344
9805;10082
10646;14098
8597;10747
9133;24772
8821;9043
10625;8850
9692;10052
9961;25115
10288;9566
9109;10847
9914;11220
8453;10018
24875;10121
9855;9917
9761;9638
9093;9554
8331;10384
9995;9689
7949;10389
9812;9842
10401;11762
10128;24881
9288;9333
8577;10565
10389;11029
11657;10571
9390;9803
10030;10256
20935;9816
10640;9900
7570;9395
9017;16363
9874;9594
9805;9273
10555;10973
8003;10519
9978;9678
8376;9158
9928;9485
11499;9674
9770;23631
10108;10454
7800;20638
9802;9843
8325;9632
10643;10714
9434;9757
8272;9962
9847;9928
9569;10038
9424;25740
9107;10678
24460;10777
10773;10514
8669;12489
9941;25207
10693;24590
10768;11633
10123;14084
9757;12096
9479;10266
8255;9999
9917;9038
11753;10531
10262;11502
24696;12130
8185;12431
9485;11395
8742;11430
9910;41913
10160;10778
23482;10951
9759;10429
8844;10295
8934;10029
22588;9322
9063;9494
9451;9623
9737;10222
9577;10301
8825;10934
9737;11238
8153;9599
10166;10779
11754;9319
9938;25346
10068;11256
8368;14986
9278;9957
7602;9408
10028;10345
10650;9996
9571;9740
9397;11327
9571;10455
9704;9372
9878;10785
10280;11230
7736;10774
10020;11347
7826;9743
8957;10029
10200;9397
9421;13770
9643;11678
7558;10169
9785;11070
8074;9732
9749;10125
9960;22075
10266;10421
7608;8621
8990;10213
9755;10500
11980;10158
9788;11849
9165;9314
9975;10395
8038;9517
12893;9693
9181;24906
9599;13949
10027;19346
9058;14411
9921;9574
8263;10158
9860;10362
10596;9751
10365;11356
8093;18080
9764;10021
10008;24586
9586;17935
9007;10488
10216;25131
9755;24213
10164;10513
