EncryptTime;DecryptTime
14222;11132
12609;11643
10701;18256
11555;11985
9679;30318
11948;11410
10502;24392
11674;14419
11656;11328
11670;11460
12256;24477
11265;9338
9978;9077
10659;10915
9310;9239
10891;10927
11141;9769
9783;11172
10754;10890
9655;25255
10788;11011
10386;10651
10985;12224
11281;25114
10752;11851
10624;11114
19230;12074
11290;10669
10379;20405
13164;13270
9233;13897
13915;10758
9362;15182
11180;11760
12127;10851
11015;12066
10839;13436
10799;11541
19175;14375
11694;10969
10215;12014
11658;10668
10663;11300
9625;11548
10772;10877
15936;10300
11082;38306
11275;10624
11994;11189
10388;14470
10066;10703
11195;11208
9567;11134
12163;11229
10969;10474
10944;10969
10332;11071
9320;11272
10890;10848
9544;21131
35474;10588
10319;10408
10187;11846
10806;11485
9231;10828
11316;11258
11440;10185
11077;11316
11591;22151
9366;14596
10546;10776
9264;11253
10864;10610
10831;10692
11216;10239
11060;13754
9605;10737
10818;10728
9465;11319
10804;11175
10467;9987
10172;10369
10627;11141
8718;10891
10320;10205
9001;11369
10723;10913
10704;10886
10807;11596
10833;16664
8873;11037
11899;10924
8940;10226
11662;10980
10693;13727
10969;10976
11081;10929
9695;10656
11160;11113
10781;9936
11105;10613
11258;10844
9547;11461
10901;11214
9492;10804
10541;11394
10824;11348
10709;11382
11529;11170
9373;13895
11293;11573
9444;9971
24287;24877
12733;22065
10423;16765
11354;11057
9454;10868
11084;12192
10998;39957
10267;11340
11922;12428
10299;12596
10692;10701
9375;10538
11546;11855
9997;10667
10300;14089
10788;11552
10383;11056
10297;13795
8877;10500
11248;11716
11076;10595
10902;13735
25782;11316
23164;10632
10901;25632
8651;19248
11575;11480
11748;12789
10062;12139
10719;35226
11299;12653
11400;12142
9657;10884
10975;12306
10627;9878
10322;12048
10350;11410
10342;13616
24421;11225
9026;22724
13226;10854
10326;10785
11523;11993
10399;11326
9014;10727
10674;10491
23653;10567
11376;10994
10498;20159
11235;11030
25921;12044
9999;10466
10900;12957
9991;10668
10473;11822
10465;10328
11594;11213
11366;11312
10986;12214
11507;13323
10947;11664
10998;11446
10809;11543
11108;11186
11204;11675
9713;11007
10795;10743
10531;10449
10721;11514
11174;13167
10995;27235
18184;11045
13210;12317
14197;10916
9371;11908
11119;14507
9808;16853
11085;25993
9738;10594
10742;13163
10832;10531
10894;10738
10430;24308
9753;10897
10647;11492
9103;11537
10439;12575
11431;10964
11237;11524
10797;10791
9525;10281
10906;10826
11611;25810
11736;11393
10390;11672
9096;10530
20801;15667
10106;23299
10062;10556
10887;25011
10761;11405
11757;10522
8872;16528
10665;12161
9158;25849
10562;14265
11003;10707
10938;15900
11374;12566
9438;11238
11325;10736
10912;11512
10401;13582
11056;10527
9463;11068
10668;25175
8478;20241
11249;10374
11259;12431
10821;10970
11178;13752
9237;11840
10104;11759
11083;10613
10796;10275
12564;12299
9657;12408
11349;11776
9319;12119
11124;18527
11438;11243
12612;11869
11039;11242
9217;10957
10793;10798
10007;22638
12331;22782
10055;11458
